Date,Result,Lucky Ball
"Monday, May 30, 2022","7, 24, 32, 34, 36",5
"Sunday, May 29, 2022","6, 15, 29, 35, 38",9
"Saturday, May 28, 2022","3, 21, 31, 37, 40",5
"Friday, May 27, 2022","2, 3, 17, 38, 47",1
"Thursday, May 26, 2022","24, 26, 27, 39, 46",15
"Wednesday, May 25, 2022","11, 12, 28, 30, 37",1
"Tuesday, May 24, 2022","1, 3, 26, 39, 46",10
"Monday, May 23, 2022","1, 2, 6, 30, 46",12
"Sunday, May 22, 2022","7, 11, 25, 31, 46",18
"Saturday, May 21, 2022","13, 17, 31, 41, 47",13
"Friday, May 20, 2022","3, 19, 43, 44, 48",2
"Thursday, May 19, 2022","15, 16, 18, 23, 25",14
"Wednesday, May 18, 2022","13, 28, 36, 37, 42",8
"Tuesday, May 17, 2022","5, 16, 29, 31, 32",14
"Monday, May 16, 2022","2, 10, 11, 18, 22",17
"Sunday, May 15, 2022","4, 7, 13, 25, 40",13
"Saturday, May 14, 2022","4, 9, 13, 33, 44",3
"Friday, May 13, 2022","6, 9, 13, 28, 38",18
"Thursday, May 12, 2022","15, 21, 23, 32, 45",12
"Wednesday, May 11, 2022","2, 20, 30, 31, 39",15
"Tuesday, May 10, 2022","1, 13, 18, 22, 45",7
"Monday, May 09, 2022","12, 19, 30, 34, 39",15
"Sunday, May 08, 2022","18, 19, 24, 29, 47",10
"Saturday, May 07, 2022","10, 23, 24, 38, 41",8
"Friday, May 06, 2022","7, 17, 23, 35, 46",14
"Thursday, May 05, 2022","10, 12, 21, 33, 34",4
"Wednesday, May 04, 2022","14, 20, 21, 34, 44",14
"Tuesday, May 03, 2022","5, 8, 11, 33, 34",14
"Monday, May 02, 2022","2, 12, 32, 35, 43",14
"Sunday, May 01, 2022","7, 8, 19, 36, 38",10
"Saturday, Apr 30, 2022","3, 5, 7, 33, 45",17
"Friday, Apr 29, 2022","8, 15, 20, 32, 39",15
"Thursday, Apr 28, 2022","17, 19, 20, 26, 45",17
"Wednesday, Apr 27, 2022","4, 6, 13, 24, 41",16
"Tuesday, Apr 26, 2022","2, 22, 35, 38, 39",2
"Monday, Apr 25, 2022","8, 18, 32, 36, 43",4
"Sunday, Apr 24, 2022","11, 13, 28, 30, 37",4
"Saturday, Apr 23, 2022","2, 29, 30, 37, 42",14
"Friday, Apr 22, 2022","2, 5, 20, 41, 47",8
"Thursday, Apr 21, 2022","6, 11, 12, 30, 31",3
"Wednesday, Apr 20, 2022","11, 17, 28, 32, 42",2
"Tuesday, Apr 19, 2022","1, 26, 38, 41, 42",11
"Monday, Apr 18, 2022","2, 14, 28, 41, 48",11
"Sunday, Apr 17, 2022","4, 7, 10, 16, 23",12
"Saturday, Apr 16, 2022","6, 27, 28, 35, 44",3
"Friday, Apr 15, 2022","1, 21, 22, 46, 48",9
"Thursday, Apr 14, 2022","5, 13, 15, 30, 37",10
"Wednesday, Apr 13, 2022","10, 26, 38, 39, 40",18
"Tuesday, Apr 12, 2022","1, 14, 15, 31, 32",18
"Monday, Apr 11, 2022","1, 8, 38, 41, 43",6
"Sunday, Apr 10, 2022","7, 8, 10, 17, 32",16
"Saturday, Apr 09, 2022","1, 4, 10, 26, 42",11
"Friday, Apr 08, 2022","6, 16, 20, 36, 39",7
"Thursday, Apr 07, 2022","8, 24, 27, 30, 33",14
"Wednesday, Apr 06, 2022","3, 5, 10, 18, 23",4
"Tuesday, Apr 05, 2022","1, 15, 28, 29, 41",9
"Monday, Apr 04, 2022","16, 18, 29, 32, 33",3
"Sunday, Apr 03, 2022","10, 20, 21, 32, 36",11
"Saturday, Apr 02, 2022","19, 23, 32, 34, 39",16
"Friday, Apr 01, 2022","6, 16, 25, 40, 47",9
"Thursday, Mar 31, 2022","8, 20, 36, 41, 45",17
"Wednesday, Mar 30, 2022","5, 37, 38, 46, 48",9
"Tuesday, Mar 29, 2022","6, 15, 16, 22, 47",6
"Monday, Mar 28, 2022","13, 31, 34, 35, 37",3
"Sunday, Mar 27, 2022","1, 5, 11, 25, 42",7
"Saturday, Mar 26, 2022","13, 23, 28, 34, 39",4
"Friday, Mar 25, 2022","28, 30, 32, 33, 39",2
"Thursday, Mar 24, 2022","11, 12, 19, 26, 46",12
"Wednesday, Mar 23, 2022","1, 3, 28, 34, 42",6
"Tuesday, Mar 22, 2022","9, 11, 26, 34, 36",6
"Monday, Mar 21, 2022","8, 11, 40, 43, 46",10
"Sunday, Mar 20, 2022","7, 8, 26, 31, 39",1
"Saturday, Mar 19, 2022","6, 13, 16, 37, 41",18
"Friday, Mar 18, 2022","1, 3, 22, 29, 37",3
"Thursday, Mar 17, 2022","10, 26, 28, 42, 45",6
"Wednesday, Mar 16, 2022","2, 3, 6, 33, 46",12
"Tuesday, Mar 15, 2022","25, 33, 34, 35, 46",2
"Monday, Mar 14, 2022","3, 10, 12, 22, 47",14
"Sunday, Mar 13, 2022","4, 7, 9, 15, 28",11
"Saturday, Mar 12, 2022","3, 4, 6, 21, 23",16
"Friday, Mar 11, 2022","9, 22, 29, 30, 47",10
"Thursday, Mar 10, 2022","1, 7, 18, 41, 42",3
"Wednesday, Mar 09, 2022","6, 12, 25, 38, 47",11
